reference,title,author,publication title,publication year,nb pMCI,nb sMCI,time to prediction (in years),dataset,socio-demographic features,APOE,cog - general,cog - domain,cog - new / specific,T1 - voxel based,T1 - roi (whole brain),T1 - selected roi,wm hyperintensities,PET FDG,PET Amyloid,PET Tau,CSF,Amyloid status,DTI,fMRI,EEG/MEG,Others,logitudinal,feature selection,advanced feature processing,trained on AD vs CN,algorithm,cross-validation method,AUC,accuracy,balanced accuracy,sensitivity,specificity
Vecchio et al. 2018,Sustainable method for Alzheimer dementia prediction in mild cognitive impairment: Electroencephalographic connectivity and graph theory combined with apolipoprotein E,"Vecchio, D.F.; Miraglia, D.F.; Iberite, D.F.; Lacidogna, D.G.; Guglielmi, D.V.; Marra, D.C.; Pasqualetti, D.P.; Tiziano, D.F.D.; Rossini, P.P.M.",Annals of Neurology,2018,71.0,74.0,not fixed,local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,Linear regression,10-fold,,68.86,75.89500000000001,51.790000000000006,100.0
Valencia et Lehrner 2018,Screening for dementia with the Vienna Visuo-Constructional Test 3.0 screening (VVT 3.0 screening),"Valencia, N.; Lehrner, J.",neuropsychiatrie,2018,14.0,38.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
"Shmulev, Belyaev, et The 2018",Predicting conversion of mild cognitive impairments to alzheimer’s disease and exploring impact of neuroimaging,"Shmulev, Y.; Belyaev, M.; The, Alzheimer's Disease Neuroimaging Initiative",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,327.0,532.0,5,ADNI,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,Logistic regression,k-fold,85.0,76.0,77.0,80.0,74.0
"Shmulev, Belyaev, et The 2018",Predicting conversion of mild cognitive impairments to alzheimer’s disease and exploring impact of neuroimaging,"Shmulev, Y.; Belyaev, M.; The, Alzheimer's Disease Neuroimaging Initiative",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,327.0,532.0,5,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Logistic regression,k-fold,71.0,69.0,67.5,60.0,75.0
"Shmulev, Belyaev, et The 2018",Predicting conversion of mild cognitive impairments to alzheimer’s disease and exploring impact of neuroimaging,"Shmulev, Y.; Belyaev, M.; The, Alzheimer's Disease Neuroimaging Initiative",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,327.0,532.0,5,ADNI,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,Logistic regression,k-fold,86.0,76.0,78.0,84.0,72.0
Shen et al. 2018,Decision Supporting Model for One-year Conversion Probability from MCI to AD using CNN and SVM,"Shen, T.; Jiang, J.; Li, Y.; Wu, P.; Zuo, C.; Yan, Z.",Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,2018,100.0,65.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Neural network,single split,97.0,92.3,92.8,93.6,92.0
Popuri et al. 2018,Development and validation of a novel dementia of Alzheimer's type (DAT) score based on metabolism FDG-PET imaging,"Popuri, K.; Balachandar, R.; Alpert, K.; Lu, D.; Bhalla, M.; Mackenzie, I.R.; Hsiung, R.G.-Y.; Wang, L.; Beg, M.F.; the, Alzheimer's Disease Neuroimaging Initiative",NeuroImage: Clinical,2018,205.0,431.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,MKL,Validation on different groups,81.0,,,,
Popuri et al. 2018,Development and validation of a novel dementia of Alzheimer's type (DAT) score based on metabolism FDG-PET imaging,"Popuri, K.; Balachandar, R.; Alpert, K.; Lu, D.; Bhalla, M.; Mackenzie, I.R.; Hsiung, R.G.-Y.; Wang, L.; Beg, M.F.; the, Alzheimer's Disease Neuroimaging Initiative",NeuroImage: Clinical,2018,205.0,431.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,MKL,Validation on different groups,78.0,,,,
Popuri et al. 2018,Development and validation of a novel dementia of Alzheimer's type (DAT) score based on metabolism FDG-PET imaging,"Popuri, K.; Balachandar, R.; Alpert, K.; Lu, D.; Bhalla, M.; Mackenzie, I.R.; Hsiung, R.G.-Y.; Wang, L.; Beg, M.F.; the, Alzheimer's Disease Neuroimaging Initiative",NeuroImage: Clinical,2018,205.0,431.0,5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,MKL,Validation on different groups,77.0,,,,
Ning et al. 2018,Classifying Alzheimer's disease with brain imaging and genetic data using a neural network framework,"Ning, K.; Chen, B.; Sun, F.; Hobel, Z.; Zhao, L.; Matloff, W.; Toga, A.W.; Alzheimer's, Disease Neuroimaging Initiative",Neurobiology of Aging,2018,166.0,192.0,2,ADNI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,Neural network,Validation on different groups,83.5,,,,
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,37.0,65.0,1,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,88.93,84.29,81.33500000000001,70.36,92.31
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,54.0,65.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,88.97,80.65,80.13,75.64,84.62
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,37.0,65.0,1,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,84.01,78.33,76.545,70.0,83.09
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,37.0,65.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,81.13,77.48,71.58,53.93,89.23
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,54.0,65.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,88.13,83.26,83.495,85.45,81.54
Minhas et al. 2018,Predicting progression from mild cognitive impairment to Alzheimer's disease using autoregressive modelling of longitudinal and multimodal biomarkers,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.",IEEE Journal of Biomedical and Health Informatics,2018,54.0,65.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Non-linear SVM,stratified 5-fold,79.96,68.08,67.61,62.91,72.31
Martinez-Murcia et al. 2018,Assessing mild cognitive impairment progression using a spherical brain mapping of magnetic resonance imaging,"Martinez-Murcia, F.J.; Górriz, J.M.; Ramírez, J.; Segovia, F.; Salas-Gonzalez, D.; Castillo-Barnes, D.; Ortiz, A.",Journal of Alzheimer's Disease,2018,70.0,64.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Linear SVM,10-fold,,66.4,66.3,70.0,62.6
Martinez-Murcia et al. 2018,Assessing mild cognitive impairment progression using a spherical brain mapping of magnetic resonance imaging,"Martinez-Murcia, F.J.; Górriz, J.M.; Ramírez, J.; Segovia, F.; Salas-Gonzalez, D.; Castillo-Barnes, D.; Ortiz, A.",Journal of Alzheimer's Disease,2018,70.0,64.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Linear SVM,10-fold,,66.4,66.45,68.10000000000001,64.8
Martinez-Murcia et al. 2018,Assessing mild cognitive impairment progression using a spherical brain mapping of magnetic resonance imaging,"Martinez-Murcia, F.J.; Górriz, J.M.; Ramírez, J.; Segovia, F.; Salas-Gonzalez, D.; Castillo-Barnes, D.; Ortiz, A.",Journal of Alzheimer's Disease,2018,70.0,64.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Linear SVM,10-fold,,77.60000000000001,77.75,82.6,72.89999999999999
Martinez-Murcia et al. 2018,Assessing mild cognitive impairment progression using a spherical brain mapping of magnetic resonance imaging,"Martinez-Murcia, F.J.; Górriz, J.M.; Ramírez, J.; Segovia, F.; Salas-Gonzalez, D.; Castillo-Barnes, D.; Ortiz, A.",Journal of Alzheimer's Disease,2018,70.0,64.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,Linear SVM,10-fold,,71.89999999999999,72.6,86.2,59.0
Lin et al. 2018,Convolutional neural networks-based MRI image analysis for the Alzheimer’s disease prediction from mild cognitive impairment,"Lin, W.; Tong, T.; Gao, Q.; Guo, D.; Du, X.; Yang, Y.; Guo, G.; Xiao, M.; Du, M.; Qu, X.",Frontiers in Neuroscience,2018,169.0,139.0,3,ADNI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Neural network,leave one out,87.8,81.4,78.8,89.6,68.0
Lin et al. 2018,Convolutional neural networks-based MRI image analysis for the Alzheimer’s disease prediction from mild cognitive impairment,"Lin, W.; Tong, T.; Gao, Q.; Guo, D.; Du, X.; Yang, Y.; Guo, G.; Xiao, M.; Du, M.; Qu, X.",Frontiers in Neuroscience,2018,169.0,139.0,3,ADNI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Neural network,10-fold,83.6,79.5,77.44999999999999,86.1,68.8
"Y. Li, Yao, et al. 2018",Indirect relation based individual metabolic network for identification of mild cognitive impairment,"Li, Y.; Yao, Z.; Zhang, H.; Hu, B.; for, the Alzheimer's Disease Neuroimaging Initiative",Journal of Neuroscience Methods,2018,103.0,96.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,86.92,79.47,79.845,76.49,83.2
"Y. Li, Yao, et al. 2018",Indirect relation based individual metabolic network for identification of mild cognitive impairment,"Li, Y.; Yao, Z.; Zhang, H.; Hu, B.; for, the Alzheimer's Disease Neuroimaging Initiative",Journal of Neuroscience Methods,2018,103.0,96.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,92.55,83.59,83.815,82.26,85.37
"Y. Li, Yao, et al. 2018",Indirect relation based individual metabolic network for identification of mild cognitive impairment,"Li, Y.; Yao, Z.; Zhang, H.; Hu, B.; for, the Alzheimer's Disease Neuroimaging Initiative",Journal of Neuroscience Methods,2018,103.0,96.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,86.58,75.12,75.77,72.66,78.88
"Y. Li, Yao, et al. 2018",Indirect relation based individual metabolic network for identification of mild cognitive impairment,"Li, Y.; Yao, Z.; Zhang, H.; Hu, B.; for, the Alzheimer's Disease Neuroimaging Initiative",Journal of Neuroscience Methods,2018,103.0,96.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,79.01,74.06,74.58500000000001,83.06,66.11
"Y. Li, Yao, et al. 2018",Indirect relation based individual metabolic network for identification of mild cognitive impairment,"Li, Y.; Yao, Z.; Zhang, H.; Hu, B.; for, the Alzheimer's Disease Neuroimaging Initiative",Journal of Neuroscience Methods,2018,103.0,96.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,53.98,62.03,62.57,63.82,61.32
"Y. Li, Jiang, et al. 2018",Radiomics features as predictors to distinguish fast and slow progression of Mild Cognitive Impairment to Alzheimer's disease,"Li, Y.; Jiang, J.; Shen, T.; Wu, P.; Zuo, C.","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2018,165.0,0.0,,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Survival analysis (Cox),not described,73.0,68.4,68.94999999999999,62.8,75.1
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Survival analysis (Cox),not described,79.0,74.6,74.3,77.8,70.8
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,Survival analysis (Cox),not described,79.0,70.0,71.15,57.2,85.1
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,Survival analysis (Cox),not described,82.0,76.1,76.35,72.9,79.8
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Survival analysis (Cox),not described,82.0,77.2,77.19,77.08,77.3
Kauppi et al. 2018,Combining polygenic hazard score with volumetric MRI and cognitive measures improves prediction of progression from mild cognitive impairment to Alzheimer's disease,"Kauppi, K.; Fan, C.C.; McEvoy, L.K.; Holland, D.; Tan, C.H.; Chen, C.-H.; Andreassen, O.A.; Desikan, R.S.; Dale, A.M.",Frontiers in Neuroscience,2018,182.0,154.0,Not fixed (up to 10 years),ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,Survival analysis (Cox),not described,84.0,78.9,78.85,79.9,77.8
Hojjati et al. 2018,Predicting conversion from MCI to AD by integrating rs-fMRI and structural MRI,"Hojjati, S.H.; Ebrahimzadeh, A.; Khazaee, A.; Babajani-Feremi, A.; Alzheimer's, Disease Neuroimaging Initiative",Computers in Biology and Medicine,2018,18.0,62.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Choi et Jin 2018,Predicting cognitive decline with deep learning of brain metabolism and amyloid imaging,"Choi, H.; Jin, K.H.",Behavioural Brain Research,2018,79.0,92.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,Neural network,10-fold,89.0,84.2,84.0,81.0,87.0
