Title,Study,Conditions,Database Name,Data Analysis,Best Accuracy
task feature selection for Alzheimer's Disease and mild,,,,,
cognitive impairment identification,,,,,
Identification of conversion from mild cognitive impairment to,"Cui, Y. et al. [32]","AD, MCI",ADNI,ML,67.13%
Alzheimer's disease using multivariate predictors,,,,,
Accurate multimodal probabilistic prediction of conversion to,"Young, J. et al. [45]","AD, MCI",ADNI,ML,66.7%
Alzheimer's disease in patients with mild cognitive impairment,,,,,
Magnetic resonance imaging biomarkers for the early,"Salvatore, C. et al. [43]","AD, MCI",ADNI,ML,66.0%
diagnosis of Alzheimer's disease: a machine learning,,,,,
approach,,,,,
How early can we predict Alzheimer's disease using,"Adaszewski, S. et al.","AD, MCI",ADNI,ML,63.7%
computational anatomy?,[24],,,,
Evaluation of Plasma Proteomic Data for Alzheimer Disease,"Llano, D. et al. [47]","AD, MCI",ADNI,ML,62.0%
State Classification and for the Prediction of Progression From,,,,,
Mild Cognitive Impairment to Alzheimer Disease,,,,,
Automatic classification of patients with Alzheimer's disease,"Cuingnet, R. et al. [31]","AD, MCI",ADNI,ML,-
from structural MRI: a comparison of ten methods using the,,,,,
ADNI database,,,,,
Semi-supervised learning in MCI-to-ad conversion prediction -,"Moradi, E. et al. [48]","AD, MCI",ADNI,ML,-
"” When is unlabeled data useful?""",,,,,
Sparse learning and stability selection for predicting MCI to,"Ye, J. et al. [44]","AD, MCI",ADNI,ML,-
AD conversion using baseline ADNI data,,,,,
Predictive markers for AD in a multi-modality framework: an,"Hinrichs, C. et al. [35]","AD, MCI",ADNI,ML,-
analysis of MCI progression in the ADNI population,,,,,
Predicting conversion from MCI to AD with FDG-PET brain,"Cabral, C. et al. stages","AD, MCI",ADNI,ML,-
images at different prodromal,[27],,,,
Derivation of a new ADAS-cog composite using tree-based,"Llano, D. et al. [56]","AD, MCI",ADNI,ML,-
multivariate analysis: Prediction of conversion from mild,,,,,
cognitive impairment to alzheimer disease,,,,,
Applying Automated MR-Based Diagnostic Methods to the,"Kloeppel, S. et al. [36]","AD, MCI","ADNI, Freiburg",ML,65.0%
Memory Clinic: A Prospective Study,,,,,
Prediction of conversion from mild cognitive impairment to,"Chen, R. et al. [62]","AD, MCI","ADNI, PCD",ML,81%
Alzheimer disease based on bayesian data mining with,,,,,
ensemble learning,,,,,
Automated detection of brain atrophy patterns based on MRI,"Plant, C.  et al. [42]","AD, MCI",Clinic of Psychiatry at the Ludwig,ML,95.83%
for the prediction of Alzheimer's disease,,,Maximilian University of Munich,,
An event-based model for disease progression and its,"Fonteijn, H.M. et al.","AD, HD",Cognitive Disorders Clinic at the,ML,-
application in familial Alzheimer's disease and Huntington's,[61],,National Hospital for Neurology,,
disease,,,"and Neurosurgery,",,
"",,,Multidisciplinary HD Clinic at the,,
"",,,National Hospital for Neurology,,
"",,,and Neurosurgery,,
Clinical Decision Trees for Predicting Conversion from,"Ritchie, Lesley J.;","AD, CIND",CSHA,ML,70.2%
Cognitive Impairment No Dementia (CIND) to Dementia in a,"Tuokko, Holly [57]",,,,
Longitudinal Population-Based Study,,,,,
Neural networks for longitudinal studies in Alzheimer's disease,"Tandon, R. et al [65]","AD, MCI",LAARC,ML,87.0%
Morphological hippocampal markers for automated detection,"Ferrarini, L. et al. [46]","AD, MCI","Laboratory of Epidemiology,",ML,80.0%
of alzheimer's disease and mild cognitive impairment,,,"Neuroimaging, and Telemedicine,",,
converters in magnetic resonance images,,,at the IRCSS San Giovanni di,,
"",,,Dio-FBF in Brescia,,
A comparison of three brain atlases for MCI prediction,"Ota, K. et al. [49]","AD, MCI",SEAD-J,ML,77.9%
Multiplexed immunoassay panel identifies novel CSF,Craig S. et al. [30],"AD, MCI",WU-ADRC,ML,-
biomarkers for Alzheimer's disease diagnosis and prognosis,,,,,
"Modeling screening, prevention, and delaying of Alzheimer's","Furiak, N.M. et al. [73]",AD,-,MS,No Prognostic
disease: An early-stage decision analytic model,,,,,accuracy
Estimation and validation of a multiattribute model of,"Stallard, E. et al. [74]",AD,Predictor's Study (1989-2001),MS,No Prognostic
alzheimer disease progression,,,and Predictor's Study 2 (1997-,,accuracy
"",,,2007),,
